lang|text|created_at
en|RT @IngrahamAngle: SAVING AMERICA: Everyone in the #Florida panhandle--your votes are critical! Go out and vote before the polls close! @re…|Tue Nov 08 23:10:35 +0000 2016
en|@PrisonPlanet If you let HILLARY Into the WH, YOU OWN IT! GET OUT AND VOTE! DON'T SIT THIS ONE OUT! TRUMP 2016 🇺🇸🇺🇸|Tue Nov 08 23:10:35 +0000 2016
en|RT @Mocha_Momma: On my way to make America great again! 🇺🇸  #ElectionDay #MAGA @realDonaldTrump @mike_pence #Trumpeteer🎺 https://t.co/JLx4Q…|Tue Nov 08 23:10:35 +0000 2016
en|RT @dyanjae: @mitchellvii Doug Schoen said internal FL Hispanic vote is around 50-30+ &amp; if true not good for Hillary.|Tue Nov 08 23:10:35 +0000 2016
en|RT @NPR: A spokesman for former President George W. Bush confirms to NPR that he and his wife voted for neither Donald Trump nor Hillary Cl…|Tue Nov 08 23:10:35 +0000 2016
en|"RT @zachhaller: #ImVotingBecause I oppose virtually everything @HillaryClinton stands for &amp;

all Americans must unite to defeat her https:/…"|Tue Nov 08 23:10:35 +0000 2016
en|"RT @Montanna_Paigee: ""Dad why do u hate Hillary?"" https://t.co/hVlHToC4ee"|Tue Nov 08 23:10:35 +0000 2016
en|RT @tharealversace: REASONS WHY YOU HAVE TO VOTE FOR HILLARY #VOTEHILLARY 😭😭🙏🏾 https://t.co/eLzD2pVSw1|Tue Nov 08 23:10:35 +0000 2016
en|"RT @jacksfilms: ""If I win, I'm throwing you in jail!"" bellows Trump
""Why?"" blushes Hillary
""Because you're so sexy it's illegal""
He then gr…"|Tue Nov 08 23:10:35 +0000 2016
en|RT @whytruy: vote hillary clinton🙌🏽 idc if she a liar yall boyfriends lie to yall everyday &amp; yall still fw them so gone head &amp; vote for her|Tue Nov 08 23:10:35 +0000 2016
en|@CNN Hillary promised everything when running for Senator , after winning she did NOTHING .|Tue Nov 08 23:10:35 +0000 2016
en|RT @asamjulian: More Philly Voter Fraud=&gt; Election Workers Hand Out Instructions to Vote Hillary (VIDEO) #ElectionDay  https://t.co/eGc5VtV…|Tue Nov 08 23:10:35 +0000 2016
en|"RT @JuiceTha56: Will Hillary make pants suits mandatory? 

Will Trump build a wall on Mexicos border? 

Find out tomorrow on the season fin…"|Tue Nov 08 23:10:35 +0000 2016
en|RT @FL4TRUMPDOTCOM: When you head into VOTE tomorrow, keep these things in mind. #ElectionFinalThoughts #FL4🇺🇸@realDonaldTrump https://t.co…|Tue Nov 08 23:10:35 +0000 2016
en|"RT @wesearchr: DRUDGE: ELECTION WILL BE DECIDED BY EVENING VOTERS

ATTENTION all #Trump people: #VoteTrump RIGHT NOW! It's in your hands, w…"|Tue Nov 08 23:10:35 +0000 2016
en|@realDonaldTrump #alcoholawareness time for good sober leadership-JMF Research BC|Tue Nov 08 23:10:35 +0000 2016
en|RT @boreanazs: hillary and trump will never reach this level  https://t.co/H5WvbUT7ab|Tue Nov 08 23:10:35 +0000 2016
en|RT @Madonna: Last night was. Amazing!!! Save this Country please!! 🇺🇸🙏🏻 Vote for Hillary Clinton! 🇺🇸🇺🇸🇺🇸 Today is the Day! 🙏🏻❤️🇺🇸 https://t…|Tue Nov 08 23:10:35 +0000 2016
en|"RT @Harlan: POLL: Are you voting today or staying home?

@realDonaldTrump @HillaryClinton 

#MAGA #TrumpTrain #ImWithHer #ElectionDay"|Tue Nov 08 23:10:36 +0000 2016
en|RT @billmckibben: Strong video demand from Standing Rock protesters that @HillaryClinton take them seriously. https://t.co/mrcXny51MA|Tue Nov 08 23:10:35 +0000 2016
en|RT @chokemestepdad: this leaked email will destroy Hillary's chances of winning https://t.co/Ho8WE1ypzr|Tue Nov 08 23:10:35 +0000 2016
en|RT @CloydRiversBurn: A Hillary Clinton Presidency is nothin' more than Obama 2.0 with menopause. Merica.|Tue Nov 08 23:10:36 +0000 2016
en|RT @VickyBrush: .#VOTERFRAUD? Needs to be investigated!! Calvary Church, 6811 Woolworth Rd, Shreveport, LA @realDonaldTrump… |Tue Nov 08 23:10:35 +0000 2016
en|RT @StarMagnolias: Totally agree!! https://t.co/M63CTjnVsA|Tue Nov 08 23:10:35 +0000 2016
en|RT @Jknowstruth: @ArtoftheDealPAC @noopdoggy5 @HillaryClinton VOTING MACHINES CHANGING TRUMP VOTES INTO HILLARY VOTES EVIDENCE OF… |Tue Nov 08 23:10:36 +0000 2016
en|RT @RuffneckRefugee: when trump will send you on the first boat back home but hillary will bomb you when you get there. https://t.co/rd3Sis…|Tue Nov 08 23:10:36 +0000 2016
en|"RT @WayneDupreeShow: America, we can't afford #HillaryClinton in the WH...

The race is not over! We need you to #VoteTrump #ElectionDay #E…"|Tue Nov 08 23:10:35 +0000 2016
en|RT @FoxNews: Ivanka, Donald Jr., Eric and Tiffany Trump join @SeanHannity! Tonight at 10p ET, @realDonaldTrump's family talks… |Tue Nov 08 23:10:35 +0000 2016
en|I don't like Obama but I'm lowkey gonna miss him cause I like him more than I like Hillary or Trump.|Tue Nov 08 23:10:36 +0000 2016
en|I hope the electoral college vote for Hillary honestly.|Tue Nov 08 23:10:36 +0000 2016
en|RT @LoulouHoltz: 🇺🇸Don't forget to VOTE today🇺🇸 #president #hillaryclinton #trump #electionday #decisions #bulldog #America… |Tue Nov 08 23:10:36 +0000 2016
en|"RT @The__Prototype: Hillary: So y'all only with me cuz y'all hate Trump?

Us: https://t.co/zqfFCAAOAV"|Tue Nov 08 23:10:36 +0000 2016
en|RT @kiara_lawhon: Rihanna is wearing a shirt of her wearing a shirt with Hillary Clinton on it. 🔥 this bitch is iconic. https://t.co/S2eEIe…|Tue Nov 08 23:10:36 +0000 2016
en|RT @GovMikeHuckabee: State Dept says it takes 5 yrs to review 31,000 Hillary emails. Let Comey do it!  He can review 650,000 in 1 week!  ht…|Tue Nov 08 23:10:36 +0000 2016
en|RT @BitchestheCat: Every time a state gets called for Hillary, I'm doing a line of catnip. #ElectionDay https://t.co/kuqCiIhtLb|Tue Nov 08 23:10:36 +0000 2016
en|RT @musicnews_facts: Rihanna wearing a shirt of a picture of herself wearing a Hillary Clinton shirt. She's with HER! #ElectionDay https://…|Tue Nov 08 23:10:36 +0000 2016
